,KS_score,GS76_score,rank_KS,rank_GS76,consensus_rank,emt_group
F676,0.23905261405261405,-8.526940141467623,2985.0,271.0,1628.0,Hybrid
F677,0.07097069597069597,2.4738426887240834,1714.0,2015.0,1864.5,M
F678,0.1272061272061272,1.8107483950349703,2285.5,1849.0,2067.25,M
F679,-0.21345321345321344,3.939968574875465,747.5,2364.0,1555.75,E
F680,0.21078921078921078,-3.3079429968166707,2896.0,781.0,1838.5,M
F681,-0.10139860139860139,1.9318286124705537,1564.0,1888.0,1726.0,M
F682,0.1245004995004995,1.1851519204631629,2254.5,1695.0,1974.75,M
F683,0.13836163836163837,-0.23963928275019697,2425.5,1365.0,1895.25,M
F684,0.2502081252081252,-8.10673283095359,3020.0,296.0,1658.0,Hybrid
F685,-0.27326839826839827,8.186434037567253,429.5,3075.0,1752.25,M
F686,0.09744422244422245,-0.9497969779644677,1904.5,1201.0,1552.75,E
F687,0.13523976023976023,1.3020947587767822,2384.5,1732.0,2058.25,M
F688,0.16425241425241424,-3.040061212125188,2632.0,833.0,1732.5,M
F689,0.13598901098901098,-2.8722651526639496,2397.0,858.0,1627.5,Hybrid
F690,0.13761238761238762,-0.9923275154360027,2413.5,1185.0,1799.25,M
F691,-0.32163669663669664,6.27823936215416,264.5,2827.0,1545.75,E
F692,-0.2522893772893773,5.115103503366228,552.5,2597.0,1574.75,E
F693,0.25603563103563104,-12.315554618930793,3039.0,122.0,1580.5,Hybrid
F694,-0.1605061605061605,2.4221613044519614,1099.5,2001.0,1550.25,E
F695,-0.2914169164169164,6.731551954671623,354.5,2902.0,1628.25,Hybrid
F696,-0.21257908757908758,5.788707819911735,756.0,2752.0,1754.0,M
F697,0.12021312021312021,-4.830850714598164,2202.0,558.0,1380.0,E
F698,-0.12566600066600067,3.3223759610570482,1389.0,2224.0,1806.5,M
F699,0.1170912420912421,-0.8290742143736196,2161.5,1226.0,1693.75,Hybrid
F700,0.09852647352647352,-0.29467704320929755,1918.0,1353.0,1635.5,Hybrid
F701,0.15634365634365635,-0.462848414998021,2579.0,1306.0,1942.5,M
F702,-0.36313686313686316,6.790888538931171,164.0,2912.0,1538.0,E
F703,-0.11359473859473859,3.317387024236268,1474.5,2222.0,1848.25,M
F704,-0.20766733266733267,3.6191118510579585,784.5,2284.0,1534.25,E
F705,0.3031968031968032,-11.60263146969941,3130.5,144.0,1637.25,Hybrid
F706,-0.1570929070929071,2.6516998268659435,1117.0,2058.0,1587.5,Hybrid
F707,-0.18414918414918416,1.1724538060887255,927.0,1688.0,1307.5,E
F708,-0.2882950382950383,8.586400439133406,368.0,3109.0,1738.5,M
F709,-0.21166333666333667,5.818534160979453,761.5,2759.0,1760.25,M
F710,-0.17103729603729603,2.006867672743809,1020.0,1894.0,1457.0,E
F711,0.33503996003996006,-9.876376416067291,3172.0,195.0,1683.5,Hybrid
F712,-0.22760572760572761,2.7495976072330635,662.5,2075.0,1368.75,E
F713,-0.132992007992008,2.2048090710711605,1332.0,1945.0,1638.5,Hybrid
F714,-0.17624042624042624,1.4989339489122386,984.0,1780.0,1382.0,E
F715,-0.18277555777555776,2.1024969464585084,936.0,1917.0,1426.5,E
F716,0.17286879786879786,-1.7718754734004492,2693.5,1036.0,1864.75,M
F717,0.16008991008991008,-3.2157120810013993,2605.0,798.0,1701.5,Hybrid
F718,-0.19605394605394605,3.5680439805774924,862.5,2267.0,1564.75,E
F719,-0.19784382284382285,6.27913136848543,849.0,2829.0,1839.0,M
F720,-0.27355977355977357,7.7669737742782985,426.5,3037.0,1731.75,M
F721,-0.10930735930735931,1.333438533379855,1517.5,1736.0,1626.75,Hybrid
F722,0.119005994005994,-2.5527938906262335,2183.5,907.0,1545.25,E
F723,0.09299034299034299,0.8051839341162719,1847.0,1596.0,1721.5,M
F724,-0.08995171495171495,4.490904646099224,1637.5,2472.0,2054.75,M
F725,-0.21016483516483517,4.61128584767571,772.0,2500.0,1636.0,Hybrid
F726,-0.1557192807192807,4.222550317931791,1128.5,2415.0,1771.75,M
F727,-0.2007992007992008,5.055574239075888,832.0,2586.0,1709.0,Hybrid
F728,0.11351148851148851,0.2657709362100107,2114.0,1479.0,1796.5,M
F729,0.09744422244422245,3.2530425268218934,1904.5,2206.0,2055.25,M
F730,0.31585081585081587,-7.798724988306208,3144.0,322.0,1733.0,M
F731,-0.39081751581751584,6.857313731162286,117.0,2922.0,1519.5,E
F732,0.17407592407592407,-1.3407704066577892,2700.0,1114.0,1907.0,M
F733,-0.15497002997002998,5.389218468832944,1133.0,2672.0,1902.5,M
F734,-0.15675990675990675,2.131175479992706,1120.0,1926.0,1523.0,E
F735,-0.2594488844488845,6.583057388951936,510.0,2879.0,1694.5,Hybrid
F736,0.16171328671328672,-2.2304563743069465,2612.5,961.0,1786.75,M
F737,0.11692474192474192,-1.7156608442079389,2158.5,1044.0,1601.25,Hybrid
F738,0.09045121545121546,-1.9977301911087082,1820.5,1003.0,1411.75,E
F739,-0.30719280719280717,7.3923357002422705,303.0,2986.0,1644.5,Hybrid
F740,-0.12716450216450217,4.983748756614659,1376.0,2574.0,1975.0,M
F741,-0.163003663003663,3.5468391139719415,1078.0,2259.0,1668.5,Hybrid
F742,-0.19663669663669664,2.589010412453348,857.0,2045.0,1451.0,E
F743,-0.25661838161838163,2.1072005115240486,523.0,1919.0,1221.0,E
F744,-0.12654012654012653,0.5682640787216968,1381.0,1548.0,1464.5,E
F745,-0.5010822510822511,7.263546353733972,19.0,2972.0,1495.5,E
F746,0.3811605061605062,-10.992529202153435,3202.0,160.0,1681.0,Hybrid
F747,-0.1125957375957376,2.753496547513741,1485.5,2076.0,1780.75,M
F748,0.1379037629037629,-5.763368082641648,2416.5,468.0,1442.25,E
F749,-0.1383200133200133,1.4491342912419896,1274.0,1769.0,1521.5,E
F750,0.10801698301698302,1.3458995525089534,2041.5,1741.0,1891.25,M
F751,0.09432234432234432,-0.6571751808329225,1871.5,1259.0,1565.25,E
F752,-0.06776556776556776,0.4668023292099903,1690.0,1525.0,1607.5,Hybrid
F753,0.12541625041625043,-0.0966919435294713,2266.5,1396.0,1831.25,M
F754,-0.286963036963037,4.3922336600320975,372.0,2447.0,1409.5,E
F755,-0.15064102564102563,7.942772430592761,1172.0,3049.0,2110.5,M
F756,-0.08445720945720946,-3.9935452444368664,1666.5,670.0,1168.25,E
F757,0.10310522810522811,-0.7492583251182268,1982.0,1244.0,1613.0,Hybrid
F758,-0.2525807525807526,7.4149399630403465,550.0,2988.0,1769.0,M
F759,-0.41387778887778887,8.47221197074569,76.0,3101.0,1588.5,Hybrid
F760,-0.28175990675990675,6.115300499093273,392.0,2801.0,1596.5,Hybrid
F761,0.16454378954378954,-3.274527920378638,2634.5,787.0,1710.75,Hybrid
F762,-0.26078088578088576,4.0574322256104765,497.0,2385.0,1441.0,E
F763,0.3055694305694306,-13.70079947775291,3132.5,98.0,1615.25,Hybrid
F764,-0.13715451215451216,3.6110069759366468,1286.0,2281.0,1783.5,M
F765,-0.24737762237762237,3.891624575994186,580.0,2348.0,1464.0,E
F766,0.1547202797202797,1.870165379987597,2568.5,1865.0,2216.75,M
F767,-0.2588661338661339,4.317692287767208,514.0,2432.0,1473.0,E
F768,0.09432234432234432,0.9273393952913125,1871.5,1632.0,1751.75,M
F769,0.3702963702963703,-13.498484306648123,3195.0,99.0,1647.0,Hybrid
F770,-0.14814352314352314,4.377466676044136,1204.0,2442.0,1823.0,M
F771,0.16912254412254413,-3.6727110987056903,2672.0,719.0,1695.5,Hybrid
F772,0.12200299700299701,-2.533827732019823,2224.0,911.0,1567.5,E
F773,0.08732933732933733,0.8136089268988087,1793.0,1601.0,1697.0,Hybrid
F774,-0.2984099234099234,5.9857352421176415,325.5,2787.0,1556.25,E
F775,0.11842324342324342,-1.615263672359518,2179.0,1063.0,1621.0,Hybrid
F776,-0.1361971361971362,2.1760022115982665,1299.0,1935.0,1617.0,Hybrid
F777,0.12658175158175158,-0.15545138253651203,2280.0,1379.0,1829.5,M
F778,-0.2686480186480186,6.504694399715667,454.5,2866.0,1660.25,Hybrid
F779,-0.29304029304029305,3.451410686296555,349.0,2241.0,1295.0,E
F780,-0.29037629037629037,4.907335323354481,359.5,2557.0,1458.25,E
F781,0.09715284715284715,-0.13864526819639877,1900.0,1383.0,1641.5,Hybrid
F782,0.22569097569097568,-9.998986998992947,2937.0,189.0,1563.0,E
F783,-0.29945054945054944,5.906269099559516,321.0,2776.0,1548.5,E
F784,0.4772727272727273,-17.863884738542335,3240.0,56.0,1648.0,Hybrid
F785,-0.09902597402597403,-1.3089927135070596,1591.0,1121.0,1356.0,E
F786,0.11946386946386946,2.009577331023074,2190.5,1896.0,2043.25,M
F787,-0.21345321345321344,4.903886927885296,747.5,2554.0,1650.75,Hybrid
F788,0.10905760905760906,2.142088656046681,2059.5,1929.0,1994.25,M
F789,-0.32817182817182816,6.6743835577091275,245.0,2893.0,1569.0,E
F790,-0.23056110556110557,4.5085879000108875,640.5,2481.0,1560.75,E
F791,0.1100982350982351,0.2465466804791916,2075.0,1475.0,1775.0,M
F792,-0.1383200133200133,2.4179225716218724,1274.0,2000.0,1637.0,Hybrid
F793,-0.3597236097236097,7.420794899886403,171.5,2991.0,1581.25,Hybrid
F794,-0.2689393939393939,8.160212947085363,451.5,3071.0,1761.25,M
F795,0.14073426573426573,-1.8912057679500052,2456.0,1019.0,1737.5,M
F796,0.11022311022311022,-8.361843375675356,2077.0,281.0,1179.0,E
F797,-0.15663503163503165,3.780078909393552,1122.0,2321.0,1721.5,M
F798,-0.0817932067932068,-0.209577853553661,1675.0,1371.0,1523.0,E
F799,0.18610556110556112,-1.2202680526402077,2783.0,1132.0,1957.5,M
